epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1258.64,1.15927,2.17063,1.5484,0.77238,0.63665,0.88683,0.55143,1.16879,2.44438,1.63467,0.000549627,0.000549627,0.000549627
2,2440.41,1.1951,1.6174,1.50968,0.73493,0.8228,0.83662,0.46459,1.46769,2.2013,1.87853,0.00105058,0.00105058,0.00105058
3,3609.41,1.20879,1.43542,1.49388,0.48652,0.78896,0.66282,0.41619,1.27232,2.64319,1.62329,0.00149653,0.00149653,0.00149653
4,4762.79,1.18296,1.24629,1.45241,0.94976,0.95501,0.98141,0.6071,1.20238,1.11349,1.5336,0.00141945,0.00141945,0.00141945
5,5917.54,1.16778,1.16287,1.45478,0.97124,0.92279,0.96995,0.64377,1.12854,0.85207,1.51727,0.00133693,0.00133693,0.00133693
6,7088.21,1.12427,1.05555,1.41071,0.95269,0.93602,0.97053,0.63302,1.12817,0.77102,1.47456,0.00125442,0.00125442,0.00125442
7,8247.21,1.11215,1.01767,1.41573,0.93048,0.95791,0.97516,0.69142,0.96909,0.79172,1.33618,0.0011719,0.0011719,0.0011719
8,9401.57,1.07972,0.95321,1.37573,0.9604,0.97351,0.97977,0.68484,1.01267,0.59595,1.37361,0.00108938,0.00108938,0.00108938
9,10557.5,1.03559,0.91583,1.34847,0.99005,0.9684,0.98656,0.68189,0.99065,0.6399,1.34188,0.00100687,0.00100687,0.00100687
10,11716.7,1.01267,0.85263,1.32657,0.97941,0.98529,0.98472,0.7009,1.00453,0.55933,1.32694,0.000924352,0.000924352,0.000924352
11,12881.2,0.89377,0.68475,1.34,0.98236,0.96733,0.99176,0.72039,0.9733,0.58593,1.29563,0.000841835,0.000841835,0.000841835
12,14054.9,0.84558,0.58016,1.28296,0.98426,0.98365,0.99346,0.72035,0.89357,0.48311,1.24858,0.000759318,0.000759318,0.000759318
13,15231.9,0.83373,0.57157,1.27555,0.99294,0.98529,0.98793,0.70647,0.95127,0.52892,1.31125,0.000676802,0.000676802,0.000676802
14,16446.8,0.81992,0.54828,1.27916,0.97666,0.99055,0.99351,0.71596,0.96131,0.47816,1.30623,0.000594286,0.000594286,0.000594286
15,17649,0.77875,0.49935,1.22779,0.99116,0.98529,0.99471,0.736,0.86307,0.44367,1.21338,0.000511769,0.000511769,0.000511769
16,18903.1,0.75446,0.47242,1.22282,0.99334,0.98386,0.99429,0.73737,0.88974,0.41798,1.2245,0.000429253,0.000429253,0.000429253
17,20083.3,0.73435,0.44275,1.19456,0.99296,0.98849,0.9947,0.73797,0.90322,0.41322,1.24149,0.000346736,0.000346736,0.000346736
18,21256.3,0.69902,0.42504,1.16287,0.96479,0.98529,0.99355,0.71443,0.91285,0.42137,1.23745,0.00026422,0.00026422,0.00026422
19,22429.3,0.68133,0.40708,1.14966,0.99106,0.98735,0.9949,0.72513,0.90806,0.39794,1.24309,0.000181703,0.000181703,0.000181703
20,23601.2,0.6562,0.3803,1.12324,0.99159,0.98818,0.99304,0.71386,0.91073,0.39367,1.25427,9.91865e-05,9.91865e-05,9.91865e-05
